token	pos	etymology	family	freq	freq_family	freq_bins_12	freq_bins_4	family_size	family_membership	family_with_prefix	cognate	family_has_verb	family_with_altradical	tokens_per_family	verbs_per_family	adjectives_per_family	nomadjective_per_family	nouns_per_family	adverbsconjs_per_family	length	length_family_sum	length_family_mean	sentiment	register	domains_124	domains_47
inopportunément	D	Latin	4956	6	971	10	2	3	Fm	1	1	1	0	13	1	4	1	5	3	15			0			
inopportunité	S	Latin	4956	12	971	10	2	3	Fm	1	1	1	0	13	1	4	1	5	3	13			0			
opportun	A	Latin	4956	182	971	7	2	3	Fm	1	1	1	0	13	1	4	1	5	3	8			0			
opportunité	S	Latin	4956	110	971	7	2	3	Fm	1	1	1	0	13	1	4	1	5	3	11			0			
opportuniste	B	Latin	4956	66	971	8	2	3	Fm	1	1	1	0	13	1	4	1	5	3	12			0			
opportunisme	S	Latin	4956	52	971	8	2	3	Fm	1	1	1	0	13	1	4	1	5	3	12			0			
opportunément	D	Latin	4956	25	971	9	2	3	Fm	1	1	1	0	13	1	4	1	5	3	13			0			
imposer	V	Latin	4957	3234	4928	4	2	2	TFm	1	1	1	0	8	3	2	1	3	0	7	64	8	0		psychologie	FOURRETOUT
imposé	B	Latin	4957	907	4928	5	2	2	Fm	1	1	1	0	8	3	2	1	3	0	6			0			
imposant	A	Latin	4957	346	4928	6	2	2	Fm	1	1	1	0	8	3	2	1	3	0	8			0			
imposable	A	Latin	4957	3	4928	11	2	2	Fm	1	1	1	0	8	3	2	1	3	0	9			0			
imposition	S	Latin	4957	40	4928	9	2	2	Fm	1	1	1	0	8	3	2	1	3	0	10			0			
impôt	S	Latin	4957	396	4928	6	2	2	Fm	1	1	1	0	8	3	2	1	3	0	5			0			
surimposer	V	Latin	4957	1	4928	12	2	2	Fm	1	1	1	0	8	3	2	1	3	0	10			0			
réimposer	V	Latin	4957	1	4928	12	2	2	Fm	1	1	1	0	8	3	2	1	3	0	9			0			
imprécation	S	Latin	4958	130	147	7	3	3	TFm	1	1	0	0	10	0	4	1	5	1	11	108	10.8	0	Littéraire	parole, parler	Deus
imprécatoire	A	Latin	4958	3	147	11	3	3	Fm	1	1	0	0	10	0	4	1	5	1	12			0			
imprécateur	B	Latin	4958	2	147	11	3	3	Fm	1	1	0	0	10	0	4	1	5	1	11			0			
déprécation	S	Latin	4958	5	147	11	3	3	Fm	1	1	0	0	10	0	4	1	5	1	11			0			
déprécatif	A	Latin	4958	1	147	12	3	3	Fm	1	1	0	0	10	0	4	1	5	1	10			0			
déprécativement	D	Latin	4958	1	147	12	3	3	Fm	1	1	0	0	10	0	4	1	5	1	15			0			
déprécatoire	A	Latin	4958	2	147	11	3	3	Fm	1	1	0	0	10	0	4	1	5	1	12			0			
précateur	S	Latin	4958	1	147	12	3	3	Fm	1	1	0	0	10	0	4	1	5	1	9			0			
précatif	A	Latin	4958	1	147	12	3	3	Fm	1	1	0	0	10	0	4	1	5	1	8			0			
précation	S	Latin	4958	1	147	12	3	3	Fm	1	1	0	0	10	0	4	1	5	1	9			0			
imprégné	A	Latin	4959	299	491	6	2	2	TFm	1	1	1	0	5	1	2	0	2	0	8	49	9.8	0		hydrologie	Liquide
imprégner	V	Latin	4959	166	491	7	2	2	Fm	1	1	1	0	5	1	2	0	2	0	9			0			
imprégnation	S	Latin	4959	20	491	9	2	2	Fm	1	1	1	0	5	1	2	0	2	0	12			0			
imprégnable	A	Latin	4959	1	491	12	2	2	Fm	1	1	1	0	5	1	2	0	2	0	11			0			
prégnance	S	Latin	4959	5	491	11	2	2	Fm	1	1	1	0	5	1	2	0	2	0	9			0			
impression	S	Latin	4960	5395	6194	3	1	3	TFm	1	1	1	0	12	1	6	1	5	0	10	166	13.83	0		typographie	FOURRETOUT
impressionner	V	Latin	4960	210	6194	6	1	3	Fm	1	1	1	0	12	1	6	1	5	0	13			0			
impressionné	A	Latin	4960	190	6194	7	1	3	Fm	1	1	1	0	12	1	6	1	5	0	12			0			
impressionnant	A	Latin	4960	166	6194	7	1	3	Fm	1	1	1	0	12	1	6	1	5	0	14			0			
impressionnisme	S	Latin	4960	77	6194	8	1	3	Fm	1	1	1	0	12	1	6	1	5	0	15			0			
impressionniste	B	Latin	4960	86	6194	8	1	3	Fm	1	1	1	0	12	1	6	1	5	0	15			0			
impressionnable	A	Latin	4960	52	6194	8	1	3	Fm	1	1	1	0	12	1	6	1	5	0	15			0			
impressionnabilité	S	Latin	4960	8	6194	10	1	3	Fm	1	1	1	0	12	1	6	1	5	0	18			0			
impressif	A	Latin	4960	4	6194	11	1	3	Fm	1	1	1	0	12	1	6	1	5	0	9			0			
impressionnel	A	Latin	4960	4	6194	11	1	3	Fm	1	1	1	0	12	1	6	1	5	0	13			0			
impressivité	S	Latin	4960	1	6194	12	1	3	Fm	1	1	1	0	12	1	6	1	5	0	12			0			
hyperimpressionnable	A	Latin	4960	1	6194	12	1	3	Fm	1	1	1	0	12	1	6	1	5	0	20			0			
impropères	S	Latin	4961	6	6	10	4	0	TSfm	0	1	0	0	1	0	0	0	1	0	10	10	10	0		musique	Vox
improviser	V	Latin	4962	275	960	6	2	2	TFm	0	1	1	0	6	1	1	1	3	1	10	66	11	0		littérature	FOURRETOUT
improvisé	A	Latin	4962	189	960	7	2	2	Fm	0	1	1	0	6	1	1	1	3	1	9			0			
improvisation	S	Latin	4962	194	960	7	2	2	Fm	0	1	1	0	6	1	1	1	3	1	13			0			
improviste	D	Latin	4962	274	960	6	2	2	Fm	0	1	1	0	6	1	1	1	3	1	10			0			
improvisateur	B	Latin	4962	26	960	9	2	2	Fm	0	1	1	0	6	1	1	1	3	1	13			0			
improvisade	S	Latin	4962	2	960	11	2	2	Fm	0	1	1	0	6	1	1	1	3	1	11			0			
impulsion	S	Latin	4963	784	2122	5	2	4	TFm	1	1	1	1	27	5	8	3	13	1	9	232	8.59	0		physique	Corps
impulsif	B	Latin	4963	118	2122	7	2	4	Fm	1	1	1	1	27	5	8	3	13	1	8			0			
impulsivité	S	Latin	4963	32	2122	9	2	4	Fm	1	1	1	1	27	5	8	3	13	1	11			0			
impulsivement	D	Latin	4963	7	2122	10	2	4	Fm	1	1	1	1	27	5	8	3	13	1	13			0			
impluser	V	Latin	4963	1	2122	12	2	4	Fm	1	1	1	1	27	5	8	3	13	1	8			0			
compulser	V	Latin	4963	38	2122	9	2	4	Fm	1	1	1	1	27	5	8	3	13	1	9			0			
compulsé	A	Latin	4963	5	2122	11	2	4	Fm	1	1	1	1	27	5	8	3	13	1	8			0			
compulsif	A	Latin	4963	1	2122	12	2	4	Fm	1	1	1	1	27	5	8	3	13	1	9			0			
compulsion	S	Latin	4963	1	2122	12	2	4	Fm	1	1	1	1	27	5	8	3	13	1	10			0			
expulser	V	Latin	4963	173	2122	7	2	4	Fm	1	1	1	1	27	5	8	3	13	1	8			0			
expulsé	B	Latin	4963	116	2122	7	2	4	Fm	1	1	1	1	27	5	8	3	13	1	7			0			
expulsion	S	Latin	4963	114	2122	7	2	4	Fm	1	1	1	1	27	5	8	3	13	1	9			0			
réexpulsé	A	Latin	4963	1	2122	12	2	4	Fm	1	1	1	1	27	5	8	3	13	1	9			0			
propulsion	S	Latin	4963	47	2122	9	2	4	Fm	1	1	1	1	27	5	8	3	13	1	10			0			
propulsif	A	Latin	4963	10	2122	10	2	4	Fm	1	1	1	1	27	5	8	3	13	1	9			0			
propulser	V	Latin	4963	7	2122	10	2	4	Fm	1	1	1	1	27	5	8	3	13	1	9			0			
propulsé	A	Latin	4963	7	2122	10	2	4	Fm	1	1	1	1	27	5	8	3	13	1	8			0			
propulseur	B	Latin	4963	2	2122	11	2	4	Fm	1	1	1	1	27	5	8	3	13	1	10			0			
pulsation	S	Latin	4963	155	2122	7	2	4	Fm	1	1	1	1	27	5	8	3	13	1	9			0			
pulsatille	S	Latin	4963	1	2122	12	2	4	Fm	1	1	1	1	27	5	8	3	13	1	10			0			
pulsatile	A	Latin	4963	1	2122	12	2	4	Fm	1	1	1	1	27	5	8	3	13	1	9			0			
pulsé	A	Latin	4963	1	2122	12	2	4	Fm	1	1	1	1	27	5	8	3	13	1	5			0			
pulser	V	Latin	4963	1	2122	12	2	4	Fm	1	1	1	1	27	5	8	3	13	1	6			0			
pulsion	S	Latin	4963	57	2122	8	2	4	Fm	1	1	1	1	27	5	8	3	13	1	7			0			
répulsion	S	Latin	4963	236	2122	6	2	4	Fm	1	1	1	1	27	5	8	3	13	1	9			0			
répulsif	A	Latin	4963	21	2122	9	2	4	Fm	1	1	1	1	27	5	8	3	13	1	8			0			
pouls	S	Latin	4963	185	2122	7	2	4	Fm	1	1	1	1	27	5	8	3	13	1	5			0			
imputer	V	Latin	4964	126	274	7	3	2	TFm	0	1	1	0	5	1	3	0	1	0	7	43	8.6	0		sociologie	FOURRETOUT
imputé	A	Latin	4964	42	274	9	3	2	Fm	0	1	1	0	5	1	3	0	1	0	6			0			
